City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.79,99,98,4.02,NZ,1736808255
1,severnoye,56.3491,78.3619,-10.73,87,99,5.51,RU,1736808256
2,grytviken,-54.2811,-36.5092,5.89,69,93,6.41,GS,1736808103
3,invercargill,-46.4,168.35,13.9,82,56,0.89,NZ,1736808178
4,karratha,-20.7377,116.8463,25.63,83,100,6.23,AU,1736808259
5,asenovgrad,42.0167,24.8667,-1.29,100,100,1.03,BG,1736808260
6,anadyr,64.75,177.4833,-21.67,83,75,9.0,RU,1736808261
7,gunnedah,-30.9833,150.25,28.86,40,41,0.5,AU,1736808263
8,merelani,-3.5618,36.979,21.81,67,84,1.88,TZ,1736808264
9,margaret river,-33.95,115.0667,16.95,50,76,6.48,AU,1736808162
10,colonia,50.9333,6.95,-2.25,84,0,2.57,DE,1736808266
11,dunedin,-45.8742,170.5036,14.57,70,100,5.15,NZ,1736808267
12,tevriz,57.509,72.4042,-8.87,86,86,3.75,RU,1736808268
13,kiunga,-6.1219,141.2906,25.03,96,100,1.05,PG,1736808269
14,ushuaia,-54.8,-68.3,13.81,47,75,7.2,AR,1736808013
15,general mosconi,-23.1851,-62.303,31.27,28,53,2.89,AR,1736808271
16,west island,-12.1568,96.8225,25.99,78,19,3.09,CC,1736808219
17,zeya,53.75,127.2667,-28.54,97,70,1.48,RU,1736808274
18,asuncion nochixtlan,17.4667,-97.2333,19.31,57,24,3.37,MX,1736808275
19,camana,-16.6228,-72.7111,22.31,75,16,2.64,PE,1736808276
20,kumru,40.8744,37.2639,5.27,99,100,1.35,TR,1736808277
21,kone,-21.0595,164.8658,25.44,75,100,0.44,NC,1736808278
22,piti village,13.4626,144.6933,28.5,80,0,6.69,GU,1736808279
23,puerto natales,-51.7236,-72.4875,15.25,44,75,10.8,CL,1736808280
24,shaowu,27.3409,117.4831,4.68,54,0,1.05,CN,1736808281
25,bethel,41.3712,-73.414,3.9,65,89,0.89,US,1736808097
26,badger,64.8,-147.5333,2.14,78,75,1.54,US,1736808175
27,belmonte,-15.8631,-38.8828,25.03,88,75,2.43,BR,1736808285
28,hadibu,12.65,54.0333,22.66,73,11,6.86,YE,1736808286
29,port-aux-francais,-49.35,70.2167,4.53,88,67,20.53,TF,1736808287
30,mejit,10.2753,170.8646,27.01,73,98,9.97,MH,1736808288
31,port elizabeth,-33.918,25.5701,20.16,98,0,2.06,ZA,1736808289
32,shingu,33.7333,135.9833,3.69,76,5,2.63,JP,1736808290
33,kondoa,-4.9,35.7833,18.72,87,100,1.06,TZ,1736808291
34,beyneu,45.3167,55.2,0.47,62,82,3.27,KZ,1736808292
35,hithadhoo,-0.6,73.0833,26.81,78,92,5.87,MV,1736808294
36,lasem,-6.6922,111.4527,25.41,89,100,2.17,ID,1736808296
37,saurimo,-9.6608,20.3916,20.44,87,100,1.81,AO,1736808297
38,kikwit,-5.041,18.8162,22.41,96,99,1.12,CD,1736808298
39,queenstown,-31.8976,26.8753,14.37,89,5,1.37,ZA,1736808299
40,wewak,-3.5534,143.6268,27.15,84,20,0.6,PG,1736808300
41,lagos,6.5833,3.75,24.49,84,60,1.72,NG,1736808301
42,tiksi,71.6872,128.8694,-38.32,99,80,1.97,RU,1736808303
43,prince george,53.9166,-122.753,0.9,79,100,6.17,CA,1736808304
44,lorengau,-2.0226,147.2712,29.88,65,74,3.75,PG,1736808136
45,tateyama,34.9833,139.8667,9.36,57,37,4.91,JP,1736808306
46,bhabhua,25.05,83.6167,11.14,66,0,1.85,IN,1736808307
47,blackmans bay,-43.0167,147.3167,15.41,92,100,2.27,AU,1736808308
48,tazacorte,28.629,-17.9293,18.54,77,40,6.17,ES,1736808086
49,iqaluit,63.7506,-68.5145,-31.15,76,20,0.0,CA,1736808310
50,puerto ayora,-0.7393,-90.3518,22.53,100,100,3.13,EC,1736808313
51,doctor arroyo,23.6667,-100.1833,17.36,48,79,5.36,MX,1736808314
52,unai,-16.3575,-46.9061,22.47,93,97,0.81,BR,1736808315
53,thurso,58.5927,-3.5259,10.14,81,88,10.06,GB,1736808316
54,lompoc,34.6391,-120.4579,20.01,29,0,6.69,US,1736808317
55,amherst,41.3978,-82.2224,-7.51,72,0,7.2,US,1736808318
56,yellowknife,62.456,-114.3525,-10.88,96,75,1.54,CA,1736808165
57,bilibino,68.0546,166.4372,-24.49,98,100,0.91,RU,1736808147
58,conde,-7.2597,-34.9075,27.7,83,75,3.09,BR,1736808323
59,olonkinbyen,70.9221,-8.7187,-3.21,86,100,5.66,SJ,1736808324
60,cromer,52.9312,1.2989,4.82,80,100,5.81,GB,1736808325
61,antalaha,-14.9003,50.2788,24.54,93,100,1.74,MG,1736808326
62,coahuayana de hidalgo,18.7,-103.6583,25.96,71,92,1.64,MX,1736808328
63,east ballina,-28.8667,153.5833,24.52,76,83,2.1,AU,1736808329
64,georgetown,5.4112,100.3354,25.53,77,20,3.09,MY,1736808192
65,pakxan,18.3778,103.6601,9.2,68,70,1.92,LA,1736808332
66,sao joao da barra,-21.6403,-41.0511,24.05,83,100,3.57,BR,1736808333
67,east london,-33.0153,27.9116,19.21,86,4,2.43,ZA,1736808334
68,midvagur,62.0511,-7.1939,8.46,93,100,4.63,FO,1736808335
69,port saint john's,-31.6229,29.5448,20.72,88,67,2.81,ZA,1736808336
70,sievi,63.9,24.5,3.98,91,96,7.63,FI,1736808337
71,tame,6.461,-71.73,28.45,48,76,2.24,CO,1736808338
72,vanersborg,58.3807,12.3234,5.88,96,100,7.2,SE,1736808339
73,vilyuysk,63.7553,121.6247,-39.17,100,100,1.28,RU,1736808340
74,ardakan,32.31,54.0175,6.71,57,2,2.15,IR,1736808341
75,thinadhoo,0.5333,72.9333,26.84,77,86,5.56,MV,1736808343
76,richards bay,-28.783,32.0377,22.19,90,90,1.31,ZA,1736808344
77,cabo san lucas,22.8909,-109.9124,22.64,46,0,8.23,MX,1736808133
78,tazovsky,67.4667,78.7,-21.63,100,86,3.09,RU,1736808346
79,teutonia,-29.4481,-51.8064,25.41,64,0,0.89,BR,1736808347
